"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.PCR.Testing.Encounters"
"600","5/18/2020","23974","Suppressed*",111
"601","5/18/2020","23976","0",9
"602","5/18/2020","24011","0",10
"603","5/18/2020","24012","45",191
"604","5/18/2020","24013","6",40
"605","5/18/2020","24014","54",114
"606","5/18/2020","24015","13",60
"607","5/18/2020","24016","Suppressed*",58
"608","5/18/2020","24017","14",173
"609","5/18/2020","24018","34",256
"610","5/18/2020","24019","10",164
"611","5/18/2020","24053","Suppressed*",29
"612","5/18/2020","24054","5",58
"613","5/18/2020","24055","Suppressed*",130
"614","5/18/2020","24058","0",4
"615","5/18/2020","24059","0",5
"616","5/18/2020","24060","33",454
"617","5/18/2020","24064","0",24
"618","5/18/2020","24065","Suppressed*",29
"619","5/18/2020","24066","Suppressed*",14
"620","5/18/2020","24067","Suppressed*",9
"621","5/18/2020","24069","Suppressed*",25
"622","5/18/2020","24070","0",9
"623","5/18/2020","24072","0",10
"624","5/18/2020","24073","19",384
"625","5/18/2020","24076","0",7
"626","5/18/2020","24077","Suppressed*",3
"627","5/18/2020","24078","10",84
"628","5/18/2020","24079","0",10
"629","5/18/2020","24082","0",4
"630","5/18/2020","24083","7",22
"631","5/18/2020","24084","7",166
"632","5/18/2020","24085","7",10
"633","5/18/2020","24087","6",59
"634","5/18/2020","24088","0",9
"635","5/18/2020","24089","Suppressed*",32
"636","5/18/2020","24090","9",21
"637","5/18/2020","24091","Suppressed*",59
"638","5/18/2020","24092","Suppressed*",9
"639","5/18/2020","24093","0",1
"640","5/18/2020","24095","Suppressed*",21
"641","5/18/2020","24101","Suppressed*",32
"642","5/18/2020","24102","0",2
"643","5/18/2020","24104","Suppressed*",54
"644","5/18/2020","24105","0",5
"645","5/18/2020","24112","22",315
"646","5/18/2020","24120","Suppressed*",12
"647","5/18/2020","24121","Suppressed*",80
"648","5/18/2020","24122","Suppressed*",16
"649","5/18/2020","24124","Suppressed*",37
"650","5/18/2020","24127","Suppressed*",39
"651","5/18/2020","24128","Suppressed*",16
"652","5/18/2020","24131","0",1
"653","5/18/2020","24132","0",4
"654","5/18/2020","24133","0",33
"655","5/18/2020","24134","0",36
"656","5/18/2020","24136","0",15
"657","5/18/2020","24137","Suppressed*",13
"658","5/18/2020","24138","0",20
"659","5/18/2020","24139","0",7
"660","5/18/2020","24141","Suppressed*",151
"661","5/18/2020","24142","0",1
"662","5/18/2020","24147","Suppressed*",10
"663","5/18/2020","24148","5",69
"664","5/18/2020","24149","0",27
"665","5/18/2020","24150","Suppressed*",4
"666","5/18/2020","24151","13",51
"667","5/18/2020","24153","55",489
"668","5/18/2020","24161","0",6
"669","5/18/2020","24162","6",41
"670","5/18/2020","24165","Suppressed*",26
"671","5/18/2020","24167","0",3
"672","5/18/2020","24168","Suppressed*",16
"673","5/18/2020","24171","6",71
"674","5/18/2020","24174","Suppressed*",24
"675","5/18/2020","24175","Suppressed*",36
"676","5/18/2020","24176","Suppressed*",14
"677","5/18/2020","24179","14",89
"678","5/18/2020","24184","6",13
"679","5/18/2020","24185","0",4
"680","5/18/2020","24201","Suppressed*",254
"681","5/18/2020","24202","7",154
"682","5/18/2020","24210","19",279
"683","5/18/2020","24211","9",146
"684","5/18/2020","24216","10",63
"685","5/18/2020","24217","0",1
"686","5/18/2020","24219","9",387
"687","5/18/2020","24220","0",8
"688","5/18/2020","24221","0",4
"689","5/18/2020","24224","5",70
"690","5/18/2020","24225","0",10
"691","5/18/2020","24226","0",14
"692","5/18/2020","24228","0",88
"693","5/18/2020","24230","0",90
"694","5/18/2020","24236","5",42
"695","5/18/2020","24237","0",7
"696","5/18/2020","24239","0",4
"697","5/18/2020","24243","0",43
"698","5/18/2020","24244","Suppressed*",104
"699","5/18/2020","24245","0",16
"700","5/18/2020","24246","0",6
"701","5/18/2020","24248","Suppressed*",38
"702","5/18/2020","24250","0",13
"703","5/18/2020","24251","Suppressed*",147
"704","5/18/2020","24256","0",38
"705","5/18/2020","24258","0",19
"706","5/18/2020","24260","0",61
"707","5/18/2020","24263","Suppressed*",102
"708","5/18/2020","24265","0",10
"709","5/18/2020","24266","Suppressed*",115
"710","5/18/2020","24269","0",4
"711","5/18/2020","24270","Suppressed*",6
"712","5/18/2020","24271","0",35
"713","5/18/2020","24272","0",7
"714","5/18/2020","24273","Suppressed*",72
"715","5/18/2020","24277","Suppressed*",96
"716","5/18/2020","24279","0",32
"717","5/18/2020","24280","0",6
"718","5/18/2020","24281","0",29
"719","5/18/2020","24282","0",14
"720","5/18/2020","24283","0",35
"721","5/18/2020","24290","0",30
"722","5/18/2020","24292","0",12
"723","5/18/2020","24293","Suppressed*",124
"724","5/18/2020","24301","Suppressed*",271
"725","5/18/2020","24311","0",27
"726","5/18/2020","24312","0",23
"727","5/18/2020","24313","Suppressed*",7
"728","5/18/2020","24314","0",26
"729","5/18/2020","24315","0",32
"730","5/18/2020","24316","0",2
"731","5/18/2020","24317","Suppressed*",35
"732","5/18/2020","24318","0",8
"733","5/18/2020","24319","5",87
"734","5/18/2020","24322","0",3
"735","5/18/2020","24323","Suppressed*",10
