"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.Testing.Encounters"
"635","5/17/2020","24089","Suppressed*","36"
"636","5/17/2020","24090","9","24"
"637","5/17/2020","24091","Suppressed*","68"
"638","5/17/2020","24092","Suppressed*","12"
"639","5/17/2020","24093","0","1"
"640","5/17/2020","24095","Suppressed*","27"
"641","5/17/2020","24101","Suppressed*","32"
"642","5/17/2020","24102","0","2"
"643","5/17/2020","24104","Suppressed*","55"
"644","5/17/2020","24105","0","5"
"645","5/17/2020","24112","17","302"
"646","5/17/2020","24120","0","9"
"647","5/17/2020","24121","Suppressed*","88"
"648","5/17/2020","24122","Suppressed*","17"
"649","5/17/2020","24124","Suppressed*","40"
"650","5/17/2020","24127","Suppressed*","37"
"651","5/17/2020","24128","Suppressed*","21"
"652","5/17/2020","24131","0","2"
"653","5/17/2020","24132","0","4"
"654","5/17/2020","24133","0","37"
"655","5/17/2020","24134","0","36"
"656","5/17/2020","24136","0","14"
"657","5/17/2020","24137","Suppressed*","14"
"658","5/17/2020","24138","0","21"
"659","5/17/2020","24139","0","7"
"660","5/17/2020","24141","Suppressed*","176"
"661","5/17/2020","24142","0","1"
"662","5/17/2020","24147","Suppressed*","13"
"663","5/17/2020","24148","5","72"
"664","5/17/2020","24149","0","33"
"665","5/17/2020","24150","Suppressed*","4"
"666","5/17/2020","24151","13","60"
"667","5/17/2020","24153","55","498"
"668","5/17/2020","24161","0","5"
"669","5/17/2020","24162","6","41"
"670","5/17/2020","24165","Suppressed*","25"
"671","5/17/2020","24167","0","3"
"672","5/17/2020","24168","Suppressed*","14"
"673","5/17/2020","24171","5","89"
"674","5/17/2020","24174","Suppressed*","24"
"675","5/17/2020","24175","Suppressed*","52"
"676","5/17/2020","24176","Suppressed*","11"
"677","5/17/2020","24179","13","99"
"678","5/17/2020","24184","6","13"
"679","5/17/2020","24185","0","4"
"680","5/17/2020","24201","Suppressed*","272"
"681","5/17/2020","24202","7","169"
"682","5/17/2020","24210","19","309"
"683","5/17/2020","24211","9","168"
"684","5/17/2020","24216","10","64"
"685","5/17/2020","24217","0","1"
"686","5/17/2020","24219","9","389"
"687","5/17/2020","24220","0","7"
"688","5/17/2020","24221","0","4"
"689","5/17/2020","24224","5","69"
"690","5/17/2020","24225","0","12"
"691","5/17/2020","24226","0","14"
"692","5/17/2020","24228","0","100"
"693","5/17/2020","24230","0","93"
"694","5/17/2020","24236","5","45"
"695","5/17/2020","24237","0","7"
"696","5/17/2020","24239","0","4"
"697","5/17/2020","24243","0","42"
"698","5/17/2020","24244","Suppressed*","105"
"699","5/17/2020","24245","0","15"
"700","5/17/2020","24246","0","6"
"701","5/17/2020","24248","Suppressed*","37"
"702","5/17/2020","24250","0","15"
"703","5/17/2020","24251","Suppressed*","159"
"704","5/17/2020","24256","0","38"
"705","5/17/2020","24258","0","22"
"706","5/17/2020","24260","0","61"
"707","5/17/2020","24263","Suppressed*","106"
"708","5/17/2020","24265","0","11"
